id,tree_type,common_name,botanical_name,height_min,height_max,width_min,width_max,flowering,sun_needs,michigan_suitable,wiegands_status,description,image_url,preferred_soil,fall_color,growth_rate,native_status,moisture_notes,info_source,info_source_url,image_source,image_source_url,photo_note,michigan_native,photo_source_priority,photo_reference_type,photo_fallback_url,size_basis,size_confidence,size_source_name,size_source_url,form,flower_color,bloom_season
1,Red Maple,Red Sunset Red Maple,Acer rubrum 'Franksred',45,50,35,40,No,Full Sun;Partial Sun,Yes,Priority candidate - confirm inventory,Fast-growing red maple with strong orange-red to red fall color.,https://commons.wikimedia.org/wiki/Special:FilePath/Acer%20rubrum%20tree.jpg,"Moist, well-drained, slightly acidic; adaptable",Orange-red to red,Fast,Native species,Medium to wet; tolerates brief wet periods,Missouri Botanical Garden,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?bt=3&isprofile=0&taxonid=241800,NC State Extension Plant Toolbox,https://plants.ces.ncsu.edu/find_a_plant/?q=Red%20Sunset%20Red%20Maple%20Acer%20rubrum%20%27Franksred%27,University photo-source lookup; exact cultivar/whole-tree image to be verified.,Yes,University/arboretum preferred,Targeted public reference,https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=Red%20Sunset%20Red%20Maple%20Acer%20rubrum%20%27Franksred%27%20whole%20tree,Regional cultivar reference,Verified,Arbor Day Foundation,https://shop.arborday.org/treeguide/338,Tree Form,—,—
2,Red Maple,October Glory Red Maple,Acer rubrum 'October Glory',40,50,40,50,No,Full Sun;Partial Sun,Yes,Priority candidate - confirm inventory,Rounded red maple with dependable late red fall color.,https://commons.wikimedia.org/wiki/Special:FilePath/Acer%20rubrum%20tree.jpg,"Average to moist, well-drained; prefers moist, slightly acidic soil",Brilliant orange to red,Fast,Native species,Medium to wet; tolerant of wet soil,Missouri Botanical Garden,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?bt=3&isprofile=0&taxonid=241800,NC State Extension Plant Toolbox,https://plants.ces.ncsu.edu/find_a_plant/?q=October%20Glory%20Red%20Maple%20Acer%20rubrum%20%27October%20Glory%27,University photo-source lookup; exact cultivar/whole-tree image to be verified.,Yes,University/arboretum preferred,Targeted public reference,https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=October%20Glory%20Red%20Maple%20Acer%20rubrum%20%27October%20Glory%27%20whole%20tree,Regional cultivar reference,Verified,Mississippi State University Extension,https://extension.msstate.edu/sites/default/files/publications/publications/p2679.pdf,Tree Form,—,—
3,Red Maple,Autumn Blaze Freeman Maple,Acer x freemanii 'Jeffersred',50,60,40,50,No,Full Sun;Partial Sun,Yes,Priority candidate - confirm inventory,Fast-growing hybrid maple with vivid orange-red fall color.,https://commons.wikimedia.org/wiki/Special:FilePath/Acer%20rubrum%20tree.jpg,"Moist, well-drained, slightly acidic; adaptable",Orange-red to red,Fast,Native species,Medium to wet; tolerates brief wet periods,Missouri Botanical Garden,https://www.missouribotanicalgarden.org/PlantFinder/PlantFinderDetails.aspx?bt=3&isprofile=0&taxonid=241800,NC State Extension Plant Toolbox,https://plants.ces.ncsu.edu/find_a_plant/?q=Autumn%20Blaze%20Freeman%20Maple%20Acer%20x%20freemanii%20%27Jeffersred%27,University photo-source lookup; exact cultivar/whole-tree image to be verified.,No,University/arboretum preferred,Targeted public reference,https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=Autumn%20Blaze%20Freeman%20Maple%20Acer%20x%20freemanii%20%27Jeffersred%27%20whole%20tree,Upper Midwest cultivar reference,Verified,The Morton Arboretum,https://mortonarb.org/plant-and-protect/trees-and-plants/freemans-maple/,Tree Form,—,—
4,Sugar Maple,Sugar Maple,Acer saccharum,60,75,40,50,No,Full Sun;Partial Shade,Yes,Priority candidate - confirm inventory,Classic Michigan shade tree with excellent fall color.,https://commons.wikimedia.org/wiki/Special:FilePath/Acer%20saccharum%20tree.jpg,"Deep, fertile, moist, well-drained; slightly acidic","Yellow, orange to red",Moderate,Native species,Moderate moisture; avoid prolonged wet soil,Starter horticultural profile,,NC State Extension Plant Toolbox,https://plants.ces.ncsu.edu/find_a_plant/?q=Sugar%20Maple%20Acer%20saccharum,University photo-source lookup; exact cultivar/whole-tree image to be verified.,Yes,University/arboretum preferred,Targeted public reference,https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=Sugar%20Maple%20Acer%20saccharum%20whole%20tree,Starter range — cultivar verification pending,Needs verification,,,Tree Form,—,—
5,Sugar Maple,Green Mountain Sugar Maple,Acer saccharum 'Green Mountain',50,60,35,45,No,Full Sun;Partial Shade,Yes,Priority candidate - confirm inventory,Selected sugar maple with strong form and orange-red fall color.,https://commons.wikimedia.org/wiki/Special:FilePath/Acer%20saccharum%20tree.jpg,"Deep, fertile, moist, well-drained; slightly acidic","Yellow, orange to red",Moderate,Native species,Moderate moisture; avoid prolonged wet soil,Starter horticultural profile,,NC State Extension Plant Toolbox,https://plants.ces.ncsu.edu/find_a_plant/?q=Green%20Mountain%20Sugar%20Maple%20Acer%20saccharum%20%27Green%20Mountain%27,University photo-source lookup; exact cultivar/whole-tree image to be verified.,Yes,University/arboretum preferred,Targeted public reference,https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=Green%20Mountain%20Sugar%20Maple%20Acer%20saccharum%20%27Green%20Mountain%27%20whole%20tree,Starter range — cultivar verification pending,Needs verification,,,Tree Form,—,—
6,Crimson Maple,Crimson King Maple,Acer platanoides 'Crimson King',35,45,25,35,No,Full Sun;Partial Sun,Yes,Confirm inventory,Dense shade tree with maroon-purple foliage.,https://commons.wikimedia.org/wiki/Special:FilePath/Acer%20platanoides%20%22Crimson%20King%22%20%2849791835571%29.jpg,"Average, well-drained; adaptable",Bronze to maroon,Moderate,Non-native species/cultivar,Moderate,Starter horticultural profile,,NC State Extension Plant Toolbox,https://plants.ces.ncsu.edu/plants/acer-platanoides/,Species page includes Crimson King cultivar/form photography,No,University/arboretum preferred,Curated exact cultivar/species source,https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=Crimson%20King%20Maple%20Acer%20platanoides%20%27Crimson%20King%27%20whole%20tree,Starter range — cultivar verification pending,Needs verification,,,Tree Form,—,—
7,Princeton Maple,Princeton Gold Maple,Acer platanoides 'Princeton Gold',35,45,30,40,No,Full Sun;Partial Sun,Yes,Confirm inventory,Bright golden-yellow foliage gives strong summer color.,,"Average, well-drained; adaptable",Yellow,Moderate,Non-native species/cultivar,Moderate,Starter horticultural profile,,NC State Extension Plant Toolbox,https://plants.ces.ncsu.edu/find_a_plant/?q=Princeton%20Gold%20Maple%20Acer%20platanoides%20%27Princeton%20Gold%27,University photo-source lookup; exact cultivar/whole-tree image to be verified.,No,University/arboretum preferred,Targeted public reference,https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=Princeton%20Gold%20Maple%20Acer%20platanoides%20%27Princeton%20Gold%27%20whole%20tree,Starter range — cultivar verification pending,Needs verification,,,Tree Form,—,—
8,Ginkgo,Princeton Sentry Ginkgo,Ginkgo biloba 'Princeton Sentry',40,50,15,25,No,Full Sun,Yes,Priority candidate - confirm inventory,Narrow male ginkgo with excellent urban tolerance.,https://commons.wikimedia.org/wiki/Special:FilePath/Ginkgo%20biloba%20tree.jpg,"Moist, well-drained; highly adaptable to urban soils",Bright yellow,Slow to moderate,Non-native,Moderate; drought tolerant once established,Starter horticultural profile,,NC State Extension Plant Toolbox,https://plants.ces.ncsu.edu/find_a_plant/?q=Princeton%20Sentry%20Ginkgo%20Ginkgo%20biloba%20%27Princeton%20Sentry%27,University photo-source lookup; exact cultivar/whole-tree image to be verified.,No,University/arboretum preferred,Targeted public reference,https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=Princeton%20Sentry%20Ginkgo%20Ginkgo%20biloba%20%27Princeton%20Sentry%27%20whole%20tree,Starter range — cultivar verification pending,Needs verification,,,Tree Form,—,—
9,Ginkgo,Autumn Gold Ginkgo,Ginkgo biloba 'Autumn Gold',40,50,25,30,No,Full Sun,Yes,Priority candidate - confirm inventory,Broad male ginkgo with golden fall color.,https://commons.wikimedia.org/wiki/Special:FilePath/Ginkgo%20biloba%20tree.jpg,"Moist, well-drained; highly adaptable to urban soils",Bright yellow,Slow to moderate,Non-native,Moderate; drought tolerant once established,Starter horticultural profile,,NC State Extension Plant Toolbox,https://plants.ces.ncsu.edu/find_a_plant/?q=Autumn%20Gold%20Ginkgo%20Ginkgo%20biloba%20%27Autumn%20Gold%27,University photo-source lookup; exact cultivar/whole-tree image to be verified.,No,University/arboretum preferred,Targeted public reference,https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=Autumn%20Gold%20Ginkgo%20Ginkgo%20biloba%20%27Autumn%20Gold%27%20whole%20tree,Cold-climate cultivar reference,Verified,Vermont Urban & Community Forestry,https://vtcommunityforestry.org/tree-care/tree-selection-planting/tree-selection-tool/ginkgo-biloba-autumn-gold,Tree Form,—,—
10,Oak,Bur Oak,Quercus macrocarpa,55,55,45,45,No,Full Sun,Yes,Priority candidate - confirm inventory,Large durable native oak for broad landscapes.,https://commons.wikimedia.org/wiki/Special:FilePath/Quercus%20rubra%20tree.jpg,Well-drained loam; exact preference varies by oak,"Red, russet, bronze or yellow-brown",Moderate,Mostly native species in this POC,Moderate; varies by species,Starter horticultural profile,,NC State Extension Plant Toolbox,https://plants.ces.ncsu.edu/find_a_plant/?q=Bur%20Oak%20Quercus%20macrocarpa,University photo-source lookup; exact cultivar/whole-tree image to be verified.,Yes,University/arboretum preferred,Targeted public reference,https://commons.wikimedia.org/wiki/Special:MediaSearch?type=image&search=Bur%20Oak%20Quercus%20macrocarpa%20whole%20tree,Michigan species reference,Verified,Michigan State University Extension,https://msu-prod.dotcmscloud.com/resources/bur_oak,Tree Form,—,—
